,production_year,id,title,budget,film_type,animated
300,2009,4525359,Up,175000000,D|F,yes
301,2009,4376776,The Hangover,35000000,F,no
302,2009,4272468,Star Trek,140000000,F,no
303,2009,4336179,The Blind Side,35000000,F,no
304,2009,3284426,Alvin and the Chipmunks: The Squeakquel,70000000,F,yes
305,2009,4226388,Sherlock Holmes,90000000,D|F,no
306,2009,3981382,Monsters vs. Aliens,175000000,D,yes
307,2009,3742733,Ice Age: Dawn of the Dinosaurs,90000000,D,yes
308,2009,4587920,X-Men Origins: Wolverine,150000000,F,no
309,2009,4022548,Night at the Museum: Battle of the Smithsonian,150000000,D|F,no
310,2009,3221029,2012,200000000,D|F,no
311,2009,4422155,The Proposal,40000000,F,no
312,2009,3604694,Fast & Furious,85000000,F,no
313,2009,3643891,G.I. Joe: The Rise of Cobra,175000000,D|F,no
314,2009,4088272,Paul Blart: Mall Cop,26000000,D,no
315,2008,4305270,Taken,25000000,D|F,no
316,2009,3233068,A Christmas Carol,190000000,D,yes
317,2009,3298854,Angels & Demons,150000000,F,no
318,2009,4317915,Terminator Salvation,200000000,F,no
319,2009,3444706,Cloudy with a Chance of Meatballs,100000000,D,yes
320,2009,3762482,Inglourious Basterds,70000000,F,no
321,2009,3643769,G-Force,150000000,F,yes
322,2009,3529615,District 9,30000000,D,no
323,2009,3775131,It's Complicated,85000000,F,no
324,2009,3462332,Couples Retreat,60000000,F,no
325,2007,4081905,Paranormal Activity,450000,D,no
326,2009,4556083,Watchmen,138000000,F,no
327,2009,4421179,The Princess and the Frog,105000000,D,yes
328,2009,4131509,Public Enemies,102500000,D|F,no
329,2009,3798127,Julie & Julia,40000000,F,no
330,2009,3695310,He's Just Not That Into You,40000000,F,no
331,2009,3928364,Madea Goes to Jail,17500000,F,no
332,2009,4450215,The Ugly Truth,38000000,F,no
333,2009,4525678,Up in the Air,30000000,F,no
334,2009,3825361,Knowing,50000000,D,no
335,2009,3687489,Hannah Montana: The Movie,30000000,F,no
336,2009,4569369,Where the Wild Things Are,100000000,F,no
337,2009,4606895,Zombieland,23600000,D,no
338,2009,3459164,Coraline,60000000,D,yes
339,2009,3870560,Law Abiding Citizen,53000000,F,no
340,2009,3724037,Hotel for Dogs,35000000,F,no
341,2009,4465637,This Is It,60000000,D,no
342,2009,3738163,"I Love You, Man",40000000,F,no
343,2009,4045768,Obsessed,20000000,F,no
344,2009,4142107,Race to Witch Mountain,50000000,F,no
345,2009,4364925,The Final Destination,40000000,D,no
346,2009,4443788,The Taking of Pelham 123,110000000,F,no
347,2009,3635742,Friday the 13th,17000000,F,no
348,2009,3217183,17 Again,40000000,F,no
349,2009,4446694,The Time Traveler's Wife,39000000,F,no
351,2009,3390731,Bride Wars,30000000,F,no
352,2009,4377474,The Haunting in Connecticut,10000000,F,no
354,2009,3641731,Funny People,72500000,F,no
355,2009,3735309,I Can Do Bad All by Myself,19000000,F,no
356,2009,3997254,My Bloody Valentine,14000000,D,no
357,2009,4051536,Old Dogs,35000000,F,no
358,2009,3864765,Land of the Lost,100000000,F,no
359,2009,4001458,My Sister's Keeper,27500000,F,no
360,2009,4120033,Precious,10000000,F,no
361,2009,4517995,Underworld: Rise of the Lycans,35000000,D,no
363,2009,4397671,The Lovely Bones,95000000,D|F,no
365,2009,4450510,The Unborn,16000000,F,no
366,2009,4105528,Planet 51,60000000,D,yes
367,2009,3543351,Drag Me to Hell,30000000,F,no
368,2009,4065947,Orphan,20000000,F,no
369,2009,3550964,Duplicity,60000000,F,no
370,2009,3464728,Crazy Heart,8500000,F,no
371,2009,4294352,Surrogates,80000000,F,no
372,2009,4025764,Ninja Assassin,50000000,F,no
373,2009,3769649,Invictus,60000000,F,no
374,2009,4274250,State of Play,60000000,D|F,no
375,2009,4036026,Notorious,19000000,F,no
376,2009,4418314,The Pink Panther 2,70000000,F,no
378,2009,3278591,All About Steve,15000000,F,no
379,2009,3684953,Halloween II,15000000,F,no
380,2009,4383196,The Informant!,22000000,D,no
381,2009,4390180,The Last House on the Left,15000000,F,no
382,2009,4403821,The Men Who Stare at Goats,24000000,F,no
383,2009,3212915,(500) Days of Summer,7500000,F,no
385,2009,4134339,Push,38000000,F,no
386,2009,3229453,9,30000000,D,yes
387,2009,4437811,The Soloist,60000000,F,no
388,2009,3517188,Did You Hear About the Morgans?,58000000,F,no
389,2009,4440328,The Stepfather,20000000,F,no
392,2009,3394503,Brothers,26000000,F,no
393,2009,4199548,Saw VI,11000000,F,no
394,2009,4367887,The Fourth Kind,10000000,D|F,no
395,2010,4487559,Toy Story 3,200000000,D,yes
396,2010,3277266,Alice in Wonderland,200000000,D|F,no
397,2010,3771270,Iron Man 2,170000000,D|F,no
398,2010,4449813,The Twilight Saga: Eclipse,68000000,F,no
399,2010,3691574,Harry Potter and the Deathly Hallows: Part 1,125000000,F,no
400,2010,3759757,Inception,160000000,F,no
401,2010,3511618,Despicable Me,69000000,D,yes
402,2010,4231835,Shrek Forever After,165000000,D,yes
403,2010,3727724,How to Train Your Dragon,165000000,D,yes
404,2010,4307889,Tangled,260000000,D,yes
405,2010,4386491,The Karate Kid,40000000,F,no
406,2010,4496046,Tron,200000000,D,no
407,2010,4497256,True Grit,35000000,F,no
408,2010,3441993,Clash of the Titans,125000000,F,no
409,2010,3676393,Grown Ups,75000000,D,no
410,2010,3901939,Little Fockers,100000000,F,no
411,2010,3954761,Megamind,130000000,D,yes
412,2010,4387776,The King's Speech,15000000,F,no
413,2010,4389207,The Last Airbender,150000000,F,no
414,2010,4232718,Shutter Island,80000000,D|F,no
415,2010,4413720,The Other Guys,100000000,F,no
416,2010,4190951,Salt,130000000,F,no
417,2010,3779181,Jackass 3D,20000000,D,no
418,2010,4530327,Valentine's Day,52000000,F,no
419,2010,3369949,Black Swan,13000000,D|F,no
420,2010,4171873,Robin Hood,210000000,F,no
421,2010,4345073,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,D,no
422,2010,4361785,The Expendables,82000000,F,no
423,2010,3549449,Due Date,65000000,F,no
424,2010,4594798,Yogi Bear,80000000,D,yes
425,2010,3487761,Date Night,55000000,D,no
426,2010,4437620,The Social Network,40000000,D|F,no
427,2010,4217681,Sex and the City 2,95000000,F,no
428,2010,4337355,The Book of Eli,80000000,D,no
429,2010,4364535,The Fighter,11000000,D|F,no
430,2010,4447413,The Town,37000000,F,no
431,2010,4124114,Prince of Persia: The Sands of Time,200000000,F,no
432,2010,4152510,RED,60000000,F,no
433,2010,4093410,Percy Jackson & the Olympians: The Lightning Thief,95000000,F,no
435,2010,4522501,Unstoppable,95000000,F,no
436,2010,3555747,Eat Pray Love,60000000,F,no
437,2010,3495565,Dear John,25000000,F,no
438,2010,4323738,The A-Team,110000000,D|F,no
439,2010,3824701,Knight and Day,117000000,F,no
440,2010,3525767,Dinner for Schmucks,69000000,F,no
441,2010,4447322,The Tourist,100000000,F,no
442,2010,4337887,The Bounty Hunter,45000000,F,no
443,2010,3516625,Diary of a Wimpy Kid,15000000,F,no
444,2010,4438115,The Sorcerer's Apprentice,160000000,F,no
445,2010,3245860,A Nightmare on Elm Street,35000000,F,no
446,2010,4391213,The Last Song,20000000,F,no
447,2010,4458707,The Wolfman,150000000,F,no
448,2010,3654100,Get Him to the Greek,40000000,F,no
449,2010,4160697,Resident Evil: Afterlife,57500000,D,no
450,2010,4573405,Why Did I Get Married Too?,20000000,F,no
451,2010,4483519,Tooth Fairy,48000000,F,no
452,2010,4208626,Secretariat,35000000,D|F,no
453,2010,3555431,Easy A,8000000,D,no
454,2010,4305361,Takers,32000000,D|F,no
456,2010,3895320,Life as We Know It,38000000,F,no
457,2010,3892176,Letters to Juliet,30000000,F,no
458,2010,4552252,Wall Street: Money Never Sleeps,70000000,F,no
459,2010,4120219,Predators,40000000,D,no
461,2010,3723704,Hot Tub Time Machine,36000000,F,no
462,2010,3816931,Kick-Ass,28000000,F,no
463,2010,3819110,Killers,75000000,D,no
464,2010,4199526,Saw 3D,17000000,D,no
465,2010,3458724,Cop Out,37000000,F,no
466,2010,3418720,Cats & Dogs: The Revenge of Kitty Galore,85000000,F,no
467,2010,3557616,Edge of Darkness,60000000,F,no
468,2010,3678665,Gulliver's Travels,112000000,D|F,no
469,2010,3496005,Death at a Funeral,21000000,D,no
470,2010,4276033,Step Up 3D,30000000,D,no
472,2010,3882679,Legion,26000000,F,no
473,2010,3399894,Burlesque,55000000,F,no
474,2010,4349598,The Crazies,19000000,F,no
475,2010,3625472,For Colored Girls,21000000,F,no
476,2010,4330059,The Back-up Plan,35000000,F,no
477,2010,4531350,Vampires Suck,20000000,F,no
478,2010,4326257,The American,20000000,F,no
479,2010,3674361,Green Zone,100000000,F,no
480,2010,3514043,Devil,10000000,F,no
481,2010,3944138,Marmaduke,50000000,F,no
482,2010,3704211,Hereafter,50000000,D|F,no
483,2010,4567112,When in Rome,55000000,F,no
484,2010,3915042,Love & Other Drugs,30000000,F,no
485,2010,4225097,She's Out of My League,20000000,F,no
486,2010,4204202,Scott Pilgrim vs. the World,85000000,D|F,no
487,2010,3425782,Charlie St. Cloud,44000000,F,no
488,2010,3984077,Morning Glory,40000000,F,no
489,2010,3725898,How Do You Know,120000000,F,no
490,2009,3489901,Daybreakers,20000000,D|F,no
491,2010,4009066,Nanny McPhee and the Big Bang,35000000,F,no
492,2010,4443472,The Switch,19000000,F,no
493,2009,3394056,Brooklyn's Finest,17000000,F,no
494,2010,3926575,Machete,12500000,D,no
495,2011,3691575,Harry Potter and the Deathly Hallows: Part 2,125000000,F,no
496,2011,4490130,Transformers: Dark of the Moon,195000000,D|F,no
497,2011,4449808,The Twilight Saga: Breaking Dawn - Part 1,127500000,F,no
498,2011,4376779,The Hangover Part II,80000000,D|F,no
499,2011,4103795,Pirates of the Caribbean: On Stranger Tides,378500000,D,no
500,2011,3604798,Fast Five,125000000,F,no
501,2011,3973635,Mission: Impossible - Ghost Protocol,145000000,F,no
502,2011,3415586,Cars 2,200000000,D,yes
503,2011,4226454,Sherlock Holmes: A Game of Shadows,125000000,D|F,no
